affected,end_date,deaths,lon,damage,lat,start_date,extra
NULL,1971,30.0,-71.93,NULL,-39.42,1971,{'Name': 'Villarrica'}
NULL,1971,12.0,138.55,NULL,36.62,1971,{'Name': 'Kusatsu-Shirane'}
NULL,1972,6.0,55.713,NULL,-21.229,1972,{'Name': 'Fournaise; Piton de la'}
NULL,1972,4.0,139.02,NULL,35.22,1972,{'Name': 'Hakone'}
NULL,1972,NULL,148.121,NULL,-5.52,1972,{'Name': 'Ritter Island'}
NULL,1973,2.0,-20.28,NULL,63.43,1973,{'Name': 'Vestmannaeyjar'}
NULL,1973,NULL,121.708,NULL,-8.32,1973,{'Name': 'Paluweh'}
NULL,1973,4.0,-72.97,NULL,-45.9,1973,{'Name': 'Hudson; Cerro'}
NULL,1973,4.0,123.59,NULL,-8.54,1973,{'Name': 'Iliwerung'}
NULL,1974,8.0,125.48,NULL,2.78,1974,{'Name': 'Karangetang [Api Siau]'}
NULL,1974,6.0,130.67,NULL,31.58,1974,{'Name': 'Sakura-jima'}
NULL,1974,6.0,138.03,NULL,36.92,1974,{'Name': 'Niigata-Yake-yama'}
NULL,1974,10.0,130.67,NULL,31.58,1974,{'Name': 'Sakura-jima'}
NULL,1974,NULL,-90.88,NULL,14.473,1974,{'Name': 'Fuego'}
NULL,1974,NULL,148.121,NULL,-5.52,1974,{'Name': 'Ritter Island'}
NULL,1974,18.0,110.442,NULL,-7.542,1974,{'Name': 'Merapi'}
NULL,1975,160.0,100.473,NULL,-0.381,1975,{'Name': 'Marapi'}
NULL,1975,4.0,-84.703,NULL,10.463,1975,{'Name': 'Arenal'}
NULL,1975,2.0,-155.292,4000000.0,19.425,1975,{'Name': 'Kilauea'}
NULL,1976,6.0,138.55,NULL,36.62,1976,{'Name': 'Kusatsu-Shirane'}
8.0,1976,4.0,-78.33,NULL,-2.03,1976,{'Name': 'Sangay'}
NULL,1976,238.0,112.92,NULL,-8.108,1976,{'Name': 'Semeru'}
2.0,1976,2.0,125.48,NULL,2.78,1976,{'Name': 'Karangetang [Api Siau]'}
NULL,1976,58.0,110.442,NULL,-7.542,1976,{'Name': 'Merapi'}
NULL,1977,NULL,29.25,NULL,-1.52,1977,{'Name': 'Nyiragongo;Africa-C'}
NULL,1977,NULL,43.38,NULL,-11.75,1977,{'Name': 'Karthala'}
NULL,1977,NULL,-16.78,NULL,65.73,1977,{'Name': 'Krafla'}
NULL,1977,2.0,160.638,NULL,56.057,1977,{'Name': 'Kliuchevskoi'}
NULL,1977,6.0,140.83,NULL,42.53,1977,{'Name': 'Usu'}
4.0,1978,6.0,140.83,NULL,42.53,1978,{'Name': 'Usu'}
NULL,1978,NULL,124.05,NULL,12.77,1978,{'Name': 'Bulusan'}
NULL,1978,2.0,-91.552,NULL,14.756,1978,{'Name': 'Santa Maria'}
NULL,1978,24.0,112.92,NULL,-8.108,1978,{'Name': 'Semeru'}
NULL,1978,6.0,107.6,NULL,-6.77,1978,{'Name': 'Tangkubanparahu'}
NULL,1979,298.0,109.92,NULL,-7.2,1979,{'Name': 'Dieng Volc Complex'}
NULL,1979,4.0,145.964,NULL,-4.649,1979,{'Name': 'Karkar'}
NULL,1979,4.0,-61.18,NULL,13.33,1979,{'Name': 'Soufriere St. Vincent'}
46.0,1979,18.0,15.004,NULL,37.734,1979,{'Name': 'Etna'}
22.0,1979,6.0,131.1,NULL,32.88,1979,{'Name': 'Aso'}
32.0,1979,1239.0,123.59,NULL,-8.54,1979,{'Name': 'Iliwerung'}
NULL,1980,114.0,-122.18,4000000000.0,46.2,1980,{'Name': 'St. Helens'}
NULL,1980,NULL,-19.7,NULL,63.98,1980,{'Name': 'Hekla'}
NULL,1980,2.0,-121.694,NULL,45.374,1980,{'Name': 'Hood'}
NULL,1981,NULL,15.004,10000000.0,37.734,1981,{'Name': 'Etna'}
NULL,1981,2.0,112.92,NULL,-8.108,1981,{'Name': 'Semeru'}
NULL,1981,NULL,155.55,NULL,50.858,1981,{'Name': 'Alaid'}
544.0,1981,744.0,112.92,NULL,-8.108,1981,{'Name': 'Semeru'}
NULL,1981,400.0,123.685,NULL,13.257,1981,{'Name': 'Mayon'}
NULL,1981,NULL,121.708,NULL,-8.32,1981,{'Name': 'Paluweh'}
NULL,1981,NULL,158.3,NULL,52.68,1981,{'Name': 'Vilyuchik'}
3510.0,1982,3758.0,-93.228,6600000.0,17.36,1982,{'Name': 'Chichon; El'}
NULL,1982,66.0,-93.228,NULL,17.36,1982,{'Name': 'Chichon; El'}
NULL,1982,136.0,108.05,30000000.0,-7.25,1982,{'Name': 'Galunggung'}
NULL,1982,2.0,-93.228,NULL,17.36,1982,{'Name': 'Chichon; El'}
NULL,1983,2.0,160.638,NULL,56.057,1983,{'Name': 'Kliuchevskoi'}
NULL,1983,NULL,121.608,NULL,-0.17,1983,{'Name': 'Colo [Una Una]'}
NULL,1983,NULL,123.59,NULL,-8.54,1983,{'Name': 'Iliwerung'}
NULL,1983,NULL,139.53,NULL,34.08,1983,{'Name': 'Miyake-jima'}
NULL,1984,74.0,10.5,NULL,6.25,1984,{'Name': 'Oku Volc Field'}
NULL,1984,2.0,123.685,NULL,13.257,1984,{'Name': 'Mayon'}
NULL,1984,58.0,137.48,NULL,35.9,1984,{'Name': 'On-take'}
NULL,1984,2.0,15.004,NULL,37.734,1984,{'Name': 'Etna'}
NULL,1985,140.0,112.92,NULL,-8.108,1985,{'Name': 'Semeru'}
20000.0,1985,46160.0,-75.322,NULL,4.895,1985,{'Name': 'Ruiz'}
NULL,1985,2.0,15.004,NULL,37.734,1985,{'Name': 'Etna'}
