start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
/01/2012,/02/2012,Belarus,BLR,"Vitebsk, Miory, Glubokoe, Polotsk, Postavy districts (Vitebsk province), Minsk city, Minsk, Stolbtsy, Molodechno, Borisov, Slutsk districts (Minsk province), Gomel city (Gomel district, Gomel province), Rechista, Zhlobin, Mozyr districts (Gomel province), Lida, Slonim, Volkovysk districts (Grodno province), Brest, Mogilev provinces",Extreme temperature ,Cold wave,0,130,0,0,2012-0019,--,--
/01/2013,/02/2013,Belarus,BLR,"Brest, Pinsk, Luninec, Stolin districts (Brest province), Verhnedvinsk, Miory, Sharkovshchina, Shumilino, Gorodok, Beshenkovichi districts (Vitebsk province), Borisov, Berezino, Stolbtsy, Molodechno districts (Minsk province), Bobruisk, Chausy, Mstislav, Slavgorod, Mogilev districts (Mogilev province), Rogachev, Zhitkovichi, Petrikov, Mozyr, Rechitsa, Chechersk, Gomel, Loev, Lel'chitsy, El'sk, Narovlja, Kalinkovichi, Svetlogorsk, Zhlobin, Vetka, Dobrush, Bragin districts (Gomel province)",Extreme temperature ,Severe winter conditions,4,11325,0,0,2013-0009,--,--
18/01/2014,29/01/2014,Belarus,BLR,"Minsk, Grodno, Vitebsk, Mogilev provinces",Extreme temperature ,Severe winter conditions,2,31500,0,0,2014-0029,--,--
//1963,//1963,Belgium,BEL,,Extreme temperature ,Cold wave,12,0,0,0,1963-0055,--,--
/01/1985,/01/1985,Belgium,BEL,,Extreme temperature ,Cold wave,0,0,0,0,1985-0246,--,--
01/08/2003,15/08/2003,Belgium,BEL,"Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest provinces",Extreme temperature ,Heat wave,1175,0,0,0,2003-0391,Drought,--
25/11/2005,26/11/2005,Belgium,BEL,"Region Bruxelles-Capitale/Brussels Hoofdtedelijk Gewes, Région wallonne, Vlaams Gewest",Extreme temperature ,Cold wave,2,0,0,0,2005-0655,Snow/ice,--
27/12/2005,30/12/2005,Belgium,BEL,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Vlaams Gewest, Region wallonne provinces",Extreme temperature ,Severe winter conditions,0,0,0,0,2005-0713,Snow/ice,--
/06/2006,/07/2006,Belgium,BEL,"Vlaams Geweest, Region de bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne",Extreme temperature ,Heat wave,940,0,0,0,2006-0383,--,--
/01/2009,/01/2009,Belgium,BEL,"Leuven city ( Vlaams-Brabant district, Vlaams Gewest province)",Extreme temperature ,Cold wave,1,0,0,0,2008-0633,--,--
