time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1970-02-24T08:05:45.000Z,59.51,-143.636,15,5.8,mw,,,,,iscgem,iscgem799398,2015-05-13T18:53:03.000Z,"Gulf of Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-02-25T10:20:59.000Z,24.126,122.253,30,6.1,mw,,,,,iscgem,iscgem799415,2015-05-13T18:53:03.000Z,"Taiwan region",earthquake,,,,,automatic,iscgem,iscgem
1970-02-25T14:28:38.750Z,37.0366667,-115.9996667,0.4,4.68,ml,16,254,1.773,1.85,ci,ci3324345,2016-01-29T01:14:02.420Z,"68km ENE of Beatty, NV",nuclear explosion,99,31.61,0.182,10,reviewed,ci,ci
1970-02-26T15:30:00.160Z,37.1163333,-116.0613333,0.4,4.71,ml,13,286,1.794,1.45,ci,ci3324347,2016-01-29T01:29:04.090Z,"66km ENE of Beatty, NV",nuclear explosion,99,31.61,0.237,10,reviewed,ci,ci
1970-02-26T15:50:08.000Z,13.567,120.466,35,5.8,mw,,,,,iscgem,iscgem799446,2015-05-13T18:53:03.000Z,"Mindoro, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-02-26T23:05:59.000Z,43.439,147.521,21,5.9,mw,,,,,iscgem,iscgem799452,2015-05-13T18:53:03.000Z,"Kuril Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-02-26T23:29:05.000Z,43.473,147.547,26.2,6.1,mw,,,,,iscgem,iscgem799455,2015-05-13T18:53:03.000Z,"Kuril Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-02-27T07:07:59.000Z,50.144,-179.788,10,6.1,mw,,,,,iscgem,iscgem799476,2015-05-13T18:53:03.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-02-27T10:47:53.000Z,-8.012,119.726,175.6,5.7,mw,,,,,iscgem,iscgem799492,2015-05-13T18:53:03.000Z,"Flores region, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-02-28T10:52:33.000Z,52.487,-174.915,164.1,7.1,mw,,,,,iscgem,iscgem799531,2015-05-13T18:53:03.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-02-28T19:58:48.000Z,27.756,56.316,25,5.6,mw,,,,,iscgem,iscgem799549,2015-05-13T18:53:03.000Z,"southern Iran",earthquake,,,,,automatic,iscgem,iscgem
1970-03-04T03:30:35.000Z,12.213,143.847,20,6.2,mw,,,,,iscgem,iscgem797509,2015-05-13T18:53:03.000Z,"Guam region",earthquake,,,,,automatic,iscgem,iscgem
1970-03-04T06:31:56.000Z,-19.746,-178.538,621.2,5.6,mw,,,,,iscgem,iscgem797512,2015-05-13T18:53:03.000Z,"Fiji region",earthquake,,,,,automatic,iscgem,iscgem
1970-03-04T14:27:49.000Z,7.273,126.891,35,6.1,mw,,,,,iscgem,iscgem797518,2015-05-13T18:53:03.000Z,"Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-03-08T11:51:23.000Z,1.77,126.612,47.5,5.7,mw,,,,,iscgem,iscgem797653,2015-05-13T18:53:03.000Z,"Molucca Sea",earthquake,,,,,automatic,iscgem,iscgem
1970-03-09T00:50:07.000Z,39.579,143.546,25,5.9,mw,,,,,iscgem,iscgem797667,2015-05-13T18:53:03.000Z,"off the east coast of Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1970-03-09T16:01:11.000Z,-19.091,168.672,30,6.6,mw,,,,,iscgem,iscgem797686,2015-05-13T18:53:03.000Z,"Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1970-03-10T04:58:29.000Z,44.683,148.909,54.5,6.2,mw,,,,,iscgem,iscgem797745,2015-05-13T18:53:03.000Z,"Kuril Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-03-10T06:11:57.000Z,12.702,122.247,25,5.8,mw,,,,,iscgem,iscgem797751,2015-05-13T18:53:03.000Z,"Sibuyan Sea, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-03-10T17:15:11.000Z,-31.077,116.567,10,5.7,mw,,,,,iscgemsup,iscgemsup797790,2017-02-25T02:06:42.539Z,"Western Australia",earthquake,,,,,automatic,iscgem,iscgem
1970-03-11T22:38:36.000Z,57.399,-154.058,39,6,mw,,,,,iscgem,iscgem797882,2015-05-13T18:53:03.000Z,"Kodiak Island region, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-03-15T12:39:18.000Z,-29.701,-69.397,116.7,6,mw,,,,,iscgem,iscgem798065,2015-05-13T18:53:03.000Z,"San Juan, Argentina",earthquake,,,,,automatic,iscgem,iscgem
1970-03-16T16:25:26.000Z,-19.159,168.386,15,5.8,mw,,,,,iscgem,iscgem798113,2015-05-13T18:53:03.000Z,"Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1970-03-19T23:33:33.000Z,51.411,173.58,23.2,6.3,mw,,,,,iscgem,iscgem798211,2015-05-13T18:53:03.000Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-03-20T11:07:35.000Z,5.008,125.339,50,5.7,mw,,,,,iscgem,iscgem798224,2015-05-13T18:53:03.000Z,"Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-03-21T10:09:55.000Z,24.126,142.874,20,5.6,mw,,,,,iscgem,iscgem17308392,2015-05-13T18:53:03.000Z,"Volcano Islands, Japan region",earthquake,,,,,automatic,iscgem,iscgem
1970-03-23T00:20:55.000Z,40.212,140.312,143.4,5.7,mw,,,,,iscgem,iscgem798303,2015-05-13T18:53:03.000Z,"eastern Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1970-03-23T12:14:55.000Z,29.831,129.496,157.4,5.7,mw,,,,,iscgem,iscgem798320,2015-05-13T18:53:03.000Z,"Ryukyu Islands, Japan",earthquake,,,,,automatic,iscgem,iscgem
1970-03-23T23:05:00.480Z,37.0861667,-116.0211667,0.6,5,ml,14,255,1.767,1.48,ci,ci3324823,2016-01-29T01:29:07.480Z,"68km ENE of Beatty, NV",nuclear explosion,99,31.61,0.111,10,reviewed,ci,ci
1970-03-24T10:35:19.000Z,-22.13,126.691,10,6,mw,,,,,iscgem,iscgem798352,2015-05-13T18:53:03.000Z,"Western Australia",earthquake,,,,,automatic,iscgem,iscgem
1970-03-26T19:00:00.780Z,37.3005,-116.5341667,1.2,5.54,ml,16,260,1.377,0.35,ci,ci3325031,2016-01-29T01:43:28.890Z,"48km NNE of Beatty, NV",nuclear explosion,99,31.61,0.41,10,reviewed,ci,ci
1970-03-27T18:36:50.000Z,0.288,119.364,25,6.7,mw,,,,,iscgem,iscgem798465,2015-05-13T18:53:03.000Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-03-28T07:46:00.000Z,-6.253,154.667,60,6,mw,,,,,iscgem,iscgem798488,2015-05-13T18:53:03.000Z,"Bougainville region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1970-03-28T21:02:26.000Z,39.098,29.57,25,6.9,mw,,,,,iscgem,iscgem798506,2017-02-25T02:07:07.926Z,"western Turkey",earthquake,,,,,automatic,iscgem,iscgem
1970-03-29T10:08:21.000Z,-17.07,168.634,237.2,6.6,mw,,,,,iscgem,iscgem798577,2015-05-13T18:53:04.000Z,"Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1970-03-30T16:46:44.000Z,6.754,126.451,50,6.8,mw,,,,,iscgem,iscgem798643,2015-05-13T18:53:04.000Z,"Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-03-31T08:50:14.000Z,-5.632,-80.2,73.1,5.7,mw,,,,,iscgem,iscgem798680,2015-05-13T18:53:04.000Z,"near the coast of northern Peru",earthquake,,,,,automatic,iscgem,iscgem
1970-03-31T18:18:26.000Z,-3.629,69.61,20,5.9,mw,,,,,iscgem,iscgem798689,2015-05-13T18:53:04.000Z,"Chagos Archipelago region",earthquake,,,,,automatic,iscgem,iscgem
1970-04-01T14:23:24.000Z,39.817,141.944,65,5.7,mw,,,,,iscgem,iscgem796196,2015-05-13T18:53:04.000Z,"eastern Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1970-04-02T11:11:41.000Z,-20.277,-173.861,15,5.9,mw,,,,,iscgem,iscgem796214,2015-05-13T18:53:04.000Z,"Tonga",earthquake,,,,,automatic,iscgem,iscgem
1970-04-03T06:52:33.000Z,-20.666,-173.859,25,6,mw,,,,,iscgem,iscgem796237,2015-05-13T18:53:04.000Z,"Tonga",earthquake,,,,,automatic,iscgem,iscgem
1970-04-07T05:34:06.000Z,15.791,121.63,25,7.4,mw,,,,,iscgem,iscgem796378,2015-05-13T18:53:04.000Z,"Luzon, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-04-07T06:11:54.000Z,15.662,121.852,25,5.6,mw,,,,,iscgem,iscgem796381,2015-05-13T18:53:04.000Z,"Luzon, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-04-07T06:34:19.000Z,15.527,121.811,25,5.8,mw,,,,,iscgem,iscgem796382,2015-05-13T18:53:04.000Z,"Luzon, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-04-08T13:50:29.000Z,38.304,22.682,20,6.3,mw,,,,,iscgem,iscgem796453,2015-05-13T18:53:04.000Z,"Greece",earthquake,,,,,automatic,iscgem,iscgem
1970-04-08T14:41:07.000Z,-13.863,166.821,45,5.9,mw,,,,,iscgem,iscgem796457,2015-05-13T18:53:04.000Z,"Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1970-04-08T21:23:58.000Z,15.457,121.723,25,6.5,mw,,,,,iscgem,iscgem796476,2015-05-13T18:53:04.000Z,"Luzon, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-04-09T00:00:17.000Z,45.106,149.24,110,5.7,mw,,,,,iscgem,iscgem796489,2015-05-13T18:53:04.000Z,"Kuril Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-04-09T16:24:28.000Z,13.067,-92.371,10,5.8,mw,,,,,iscgem,iscgem796529,2015-05-13T18:53:04.000Z,"near the coast of Guatemala",earthquake,,,,,automatic,iscgem,iscgem
1970-04-10T14:09:17.000Z,-27.595,-177.911,163,5.7,mw,,,,,iscgem,iscgem796571,2015-05-13T18:53:04.000Z,"Kermadec Islands region",earthquake,,,,,automatic,iscgem,iscgem
1970-04-11T04:05:45.000Z,59.61,-142.594,15,6.1,mw,,,,,iscgem,iscgem796590,2015-05-13T18:53:04.000Z,"Gulf of Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-04-11T06:21:18.000Z,-18.966,-173.545,25,5.8,mw,,,,,iscgem,iscgem796595,2015-05-13T18:53:04.000Z,"Tonga",earthquake,,,,,automatic,iscgem,iscgem
1970-04-12T04:01:46.000Z,15.136,122.064,22.5,6.9,mw,,,,,iscgem,iscgem796629,2015-05-13T18:53:04.000Z,"Philippine Islands region",earthquake,,,,,automatic,iscgem,iscgem
1970-04-12T04:16:57.000Z,15.263,122.063,19.1,5.7,mw,,,,,iscgem,iscgem796632,2015-05-13T18:53:04.000Z,"Philippine Islands region",earthquake,,,,,automatic,iscgem,iscgem
1970-04-12T05:18:09.000Z,15.164,122.443,22.5,5.6,mw,,,,,iscgem,iscgem796640,2015-05-13T18:53:04.000Z,"Philippine Islands region",earthquake,,,,,automatic,iscgem,iscgem
1970-04-14T13:46:30.000Z,-21.08,-174.311,25,5.8,mw,,,,,iscgemsup,iscgemsup796734,2015-07-13T17:02:24.000Z,"Tonga",earthquake,,,,,automatic,iscgem,iscgem
1970-04-14T19:08:19.000Z,-33.308,19.486,10,5.7,mw,,,,,iscgem,iscgem796738,2015-05-13T18:53:04.000Z,"South Africa",earthquake,,,,,automatic,iscgem,iscgem
1970-04-15T13:14:25.000Z,15.219,122.624,25,6.2,mw,,,,,iscgem,iscgem796759,2015-05-13T18:53:04.000Z,"Philippine Islands region",earthquake,,,,,automatic,iscgem,iscgem
1970-04-16T01:55:57.000Z,34.579,141.629,25,6,mw,,,,,iscgem,iscgem796780,2015-05-13T18:53:04.000Z,"off the east coast of Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1970-04-16T05:33:21.000Z,59.702,-142.683,15,6.7,mw,,,,,iscgem,iscgem796787,2015-05-13T18:53:04.000Z,"Gulf of Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-04-18T08:50:41.000Z,59.804,-152.78,97.9,5.6,mw,,,,,iscgem,iscgem796868,2015-05-13T18:53:04.000Z,"Southern Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-04-18T23:25:35.000Z,42.928,147.232,28.3,6.1,mw,,,,,iscgem,iscgem796897,2015-05-13T18:53:04.000Z,"off the coast of Hokkaido, Japan",earthquake,,,,,automatic,iscgem,iscgem
1970-04-19T01:15:48.000Z,59.571,-142.807,15,5.9,mw,,,,,iscgem,iscgem796899,2015-05-13T18:53:04.000Z,"Gulf of Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-04-19T13:29:38.000Z,38.972,29.753,18.4,6.1,mw,,,,,iscgem,iscgem796915,2015-05-13T18:53:04.000Z,"western Turkey",earthquake,,,,,automatic,iscgem,iscgem
1970-04-19T13:47:35.000Z,38.944,29.747,17.5,6,mw,,,,,iscgem,iscgem796918,2015-05-13T18:53:04.000Z,"western Turkey",earthquake,,,,,automatic,iscgem,iscgem
1970-04-20T10:39:13.000Z,-18.715,169.318,238.7,6.6,mw,,,,,iscgem,iscgem796948,2015-05-13T18:53:04.000Z,"Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1970-04-20T21:43:00.000Z,-9.971,119.065,25,5.8,mw,,,,,iscgem,iscgem796971,2015-05-13T18:53:04.000Z,"Sumba region, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-04-22T11:38:02.000Z,-11.437,119.922,15,5.6,mw,,,,,iscgem,iscgem797043,2015-05-13T18:53:04.000Z,"south of Sumba, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-04-23T09:01:27.000Z,39.071,28.808,20,5.7,mw,,,,,iscgem,iscgem797068,2015-05-13T18:53:04.000Z,"western Turkey",earthquake,,,,,automatic,iscgem,iscgem
1970-04-26T14:20:31.000Z,52.967,171.366,33.1,6,mw,,,,,iscgem,iscgem797199,2015-05-13T18:53:04.000Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-04-28T00:29:24.000Z,-8.044,156.373,15,5.8,mw,,,,,iscgem,iscgem797254,2015-05-13T18:53:04.000Z,"Solomon Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-04-28T01:12:17.000Z,-8.025,156.511,15,5.7,mw,,,,,iscgem,iscgem797255,2015-05-13T18:53:04.000Z,"Solomon Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-04-29T05:55:02.000Z,43.217,146.616,45.2,5.6,mw,,,,,iscgem,iscgem797293,2015-05-13T18:53:04.000Z,"Kuril Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-04-29T11:22:37.000Z,14.425,-92.847,35,6.6,mw,,,,,iscgem,iscgem797298,2015-05-13T18:53:04.000Z,"offshore Chiapas, Mexico",earthquake,,,,,automatic,iscgem,iscgem
