affected,end_date,deaths,lon,damage,lat,start_date
200000,/09/1977,5,90.4934594,0,24.6195908,/09/1977
13650,13/10/1977,8,91.71524289999999,0,22.5023678,13/10/1977
400000,/08/1978,17,91.31453169999999,0,22.8441747,/08/1978
10000000,/08/1980,655,89.5432775,150000,22.8155049,/08/1980
308000,07/09/1982,0,88.6177005,0,24.3824506,07/09/1982
60000,/04/1983,78,89.2561758,0,25.7501424,/04/1983
4100000,/07/1983,12,91.71524289999999,0,22.5023678,/07/1983
3000000,/09/1983,114,91.71524289999999,0,22.5023678,/09/1983
0,/08/1983,41,91.71524289999999,0,22.5023678,/08/1983
30000000,/05/1984,1200,90.42220619999999,0,24.7375356,/05/1984
100000,/06/1985,7,91.8345784,0,24.909502,/06/1985
400000,05/07/1985,27,89.24430369999999,0,25.7200561,05/07/1985
100000,02/08/1986,4,88.48518899999999,0,24.5924104,02/08/1986
300000,07/08/1986,26,88.32404849999999,0,24.6612046,07/08/1986
29700000,22/07/1987,2055,89.24430369999999,330000,25.7200561,22/07/1987
0,/08/1987,225,91.71524289999999,727500,22.5023678,/08/1987
45000000,/09/1988,2379,91.71524289999999,2137000,22.5023678,/06/1988
0,/07/1988,61,91.8345784,0,24.909502,/07/1988
200000,14/08/1989,180,91.86624619999999,0,24.9086127,14/08/1989
11600,30/03/1990,166,91.3525002,0,24.1715976,24/03/1990
2000000,06/09/1990,65,88.48518899999999,6000,24.5924104,14/07/1990
200000,10/09/1991,65,89.24430369999999,150000,25.7200561,02/09/1991
1200000,26/05/1991,200,91.86624619999999,0,24.9086127,14/05/1991
200,18/04/1992,15,90.777515,0,24.4504183,18/04/1992
45000,26/06/1992,2,92.48885729999999,0,24.8316821,22/06/1992
30000,11/07/1992,0,90.41567669999999,0,23.7955252,11/07/1992
3207056,22/06/1993,28,91.4643644,0,24.2841792,04/06/1993
11469537,31/08/1993,162,89.3624926,0,24.8620685,01/07/1993
1075020,21/08/1993,4,91.8124369,0,22.3950583,21/08/1993
25000,03/06/1994,3,91.86624619999999,0,24.9086127,01/06/1994
370000,19/08/1994,40,88.48518899999999,0,24.5924104,19/08/1994
0,19/04/1994,61,90.2724507,0,22.7102759,19/04/1994
